IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
3317;Металлическая аптечка АМ-1 для медикаментов;Metallicheskaja-aptechka-AM-1-dlja-medikamentov;3316;heigh380width300depth160weight3.6;380;300;160;3.6;1 782
3319;Металлический медицинский шкаф  M1М М1 165.50.32 М;Metallicheskij-meditsinskij-shkaf--M1M-M1-165.50.32-M;3318;heigh1655width500depth320;1655;500;320;;11 696
3320;Металлический медицинский шкаф  M1М М1 165.57.32 М;Metallicheskij-meditsinskij-shkaf--M1M-M1-165.57.32-M;3318;heigh1655width570depth320;1655;570;320;;11 871
3321;Металлический медицинский шкаф  M1М М1 175.60.40 М;Metallicheskij-meditsinskij-shkaf--M1M-M1-175.60.40-M;3318;heigh1750width600depth400;1750;600;400;;15 172
3323;Металлический медицинский шкаф  M1С М1 165.50.32 C;Metallicheskij-meditsinskij-shkaf--M1S-M1-165.50.32-C;3322;heigh1655width500depth320;1655;500;320;;11 696
3324;Металлический медицинский шкаф  M1С М1 165.57.32 C;Metallicheskij-meditsinskij-shkaf--M1S-M1-165.57.32-C;3322;heigh1655width570depth320;1655;570;320;;11 871
3325;Металлический медицинский шкаф  M1С М1 175.60.40 C;Metallicheskij-meditsinskij-shkaf--M1S-M1-175.60.40-C;3322;heigh1750width600depth400;1750;600;400;;15 172
3327;Металлический медицинский шкаф M2М М2 165.70.32 М;Metallicheskij-meditsinskij-shkaf-M2M-M2-165.70.32-M;3326;heigh1655width700depth320;1655;700;320;;12 093
3328;Металлический медицинский шкаф M2М М2 175.80.40 М;Metallicheskij-meditsinskij-shkaf-M2M-M2-175.80.40-M;3326;heigh1750width800depth400;1750;800;400;;15 838
3330;Металлический медицинский шкаф M2C М2 165.70.32 С;Metallicheskij-meditsinskij-shkaf-M2C-M2-165.70.32-S;3329;heigh1655width700depth320;1655;700;320;;12 093
3331;Металлический медицинский шкаф M2C М2 175.80.40 С;Metallicheskij-meditsinskij-shkaf-M2C-M2-175.80.40-S;3329;heigh1750width800depth400;1750;800;400;;15 838
