IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;CV_PRICE_1
3230;Задняя стенка для почтовых ящиков ПМ-4;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-PM-4;3229;heigh480width298depth2;480;298;2;228
3231;Задняя стенка для почтовых ящиков ПМ-5;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-PM-5;3229;heigh560width298depth2;560;298;2;266
3232;Задняя стенка для почтовых ящиков ПМ-6;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-PM-6;3229;heigh650width298depth2;650;298;2;317
3233;Задняя стенка для почтовых ящиков ПМ-7;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-PM-7;3229;heigh740width298depth2;740;298;2;367
3234;Задняя стенка для почтовых ящиков ПМ-8;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-PM-8;3229;heigh830width298depth2;830;298;2;411
3236;Металлический пятисекционный почтовый ящик ПМ-5;Metallicheskij-pjatisektsionnyj-pochtovyj-jaschik-PM-5;3235;heigh590width385depth195;590;385;195;2 408
3238;Металлический шестисекционный почтовый ящик ПМ-6;Metallicheskij-shestisektsionnyj-pochtovyj-jaschik-PM-6;3237;heigh685width385depth195;685;385;195;2 780
3240;Металлический семисекционный почтовый ящик ПМ-7;Metallicheskij-semisektsionnyj-pochtovyj-jaschik-PM-7;3239;heigh770width385depth195;770;385;195;3 126
3242;Металлический восьмисекционный почтовый ящик ПМ-8;Metallicheskij-vos'misektsionnyj-pochtovyj-jaschik-PM-8;3241;heigh860width385depth195;860;385;195;3 473
3244;Металлический четырехсекционный почтовый ящик ПМ-4;Metallicheskij-chetyrehsektsionnyj-pochtovyj-jaschik-PM-4;3243;heigh500width385depth195;500;385;195;2 025
